i15,e01,c2,p35,l3,4378
i23,e09,c5,p21,l3,1721
i06,e10,c3,p13,l4,1721
i48,e11,c1,p16,l3,1722
i14,e09,c5,p07,l3,1721
i02,e05,c1,p17,l3,1720
i43,e08,c1,p11,l3,1720
i27,e09,c5,p13,l3,1720
i06,e12,c5,p33,l3,1721
i01,e08,c1,p04,l3,1722
i38,e12,c1,p09,l3,1720
i03,e04,c5,p10,l3,1720
i06,e09,c3,p14,l2,1
i02,e08,c4,p15,l3,1722
i46,e01,c4,p13,l3,1720
i16,e08,c5,p26,l3,1720
i39,e04,c5,p32,l3,1720
i48,e11,c1,p11,l3,1720
i07,e08,c5,p24,l3,1720
i02,e08,c1,p19,l3,3012
i38,e10,c1,p28,l3,4267
i06,e10,c5,p22,l4,2853
i06,e10,c5,p32,l4,2271
i34,e03,c5,p24,l3,1786
i06,e08,c5,p12,l2,1847
i06,e10,c5,p20,l4,2047
i38,e10,c1,p11,l1,34
i34,e08,c5,p24,l3,1764
i02,e09,c1,p01,l3,1816
i06,e08,c5,p13,l2,1925
i06,e10,c5,p35,l2,94
i06,e09,c5,p25,l2,22
i38,e08,c1,p14,l2,254
i06,e12,c5,p21,l3,2150
i38,e06,c1,p16,l3,1793
i38,e10,c1,p25,l2,6
i06,e12,c5,p25,l3,1753
i06,e04,c5,p35,l1,146
i34,e03,c5,p17,l3,1799
i06,e10,c3,p05,l3,1804
i38,e10,c1,p07,l1,25
i06,e05,c3,p11,l1,2
i06,e01,c5,p18,l3,3511
i38,e01,c1,p28,l3,1730
i43,e08,c1,p35,l3,1725
i38,e10,c1,p32,l2,7
i23,e08,c5,p19,l3,1727
i41,e08,c1,p16,l3,1724
i06,e05,c5,p24,l1,4
i38,e10,c4,p17,l4,1734
i23,e08,c5,p16,l3,1754
i06,e10,c3,p21,l3,1769
i05,e12,c1,p31,l3,1725
i46,e08,c1,p02,l3,1737
i05,e09,c1,p15,l3,1726
i06,e08,c5,p26,l2,138
i29,e04,c5,p35,l3,1733
i38,e09,c1,p18,l2,1734
i38,e11,c4,p11,l2,1724
i06,e04,c5,p32,l1,30
i38,e04,c4,p19,l1,3
i14,e04,c5,p07,l3,1721
i17,e05,c5,p01,l3,1721
i41,e04,c1,p01,l3,1723
i02,e09,c1,p23,l3,1745
i30,e01,c1,p12,l3,1723
i41,e07,c1,p12,l3,1721
i41,e08,c1,p01,l3,1724
i38,e12,c1,p07,l3,1720
i17,e01,c5,p15,l3,1731
i23,e01,c5,p03,l3,1721
i111,e04,c1,p12,l3,1720
i42,e05,c5,p29,l3,1722
i67,e09,c5,p24,l3,1723
i16,e09,c5,p19,l3,1722
i46,e08,c1,p06,l3,1725
i01,e09,c1,p19,l3,1720
i26,e04,c1,p35,l3,1723
i06,e07,c5,p15,l2,4
i30,e01,c1,p04,l3,1724
i13,e08,c5,p15,l3,1730
i48,e11,c1,p29,l3,1723
i14,e09,c5,p28,l3,1723
i22,e05,c5,p09,l3,1720
i16,e04,c5,p22,l3,1720
i27,e08,c5,p02,l3,1720
i05,e11,c1,p10,l3,1722
i01,e04,c1,p03,l3,1720
i38,e11,c4,p15,l2,1721
i27,e10,c5,p35,l3,1721
i05,e09,c1,p21,l3,1720
i05,e12,c1,p17,l3,1721
i13,e03,c5,p13,l3,1720
i27,e09,c5,p10,l3,1720
i03,e01,c5,p10,l3,1720
i33,e03,c1,p02,l3,1720
i38,e01,c7,p14,l3,3440
i41,e08,c1,p29,l3,1720
i46,e05,c1,p35,l3,1721
i43,e01,c1,p28,l3,1720
i06,e10,c5,p14,l3,26946
i06,e08,c5,p21,l2,3237
i38,e10,c1,p12,l3,16672
i06,e08,c5,p16,l2,2514
i38,e10,c1,p17,l4,3556
i02,e01,c1,p10,l3,2046
i38,e10,c1,p23,l4,2189
i06,e12,c5,p29,l3,1873
i46,e08,c1,p19,l3,1815
i06,e12,c5,p18,l3,3657
i01,e04,c1,p35,l3,1758
i06,e10,c5,p01,l4,4528
i12,e08,c5,p17,l3,1725
i06,e10,c5,p05,l4,5033
i38,e08,c4,p07,l2,14
i38,e06,c1,p02,l3,1864
i38,e12,c1,p12,l3,1724
i02,e04,c1,p13,l3,1842
i06,e01,c5,p29,l3,1823
i02,e01,c1,p21,l3,1877
i27,e04,c5,p24,l3,1728
i06,e10,c5,p31,l4,1900
i39,e04,c5,p15,l3,1776
i34,e04,c5,p19,l3,1804
i34,e09,c5,p04,l3,1729
i23,e08,c5,p15,l3,1752
i34,e08,c5,p08,l3,1741
i46,e08,c1,p07,l3,1722
i06,e04,c5,p22,l1,86
i34,e03,c5,p23,l3,1753
i06,e10,c3,p22,l4,1724
i17,e04,c5,p29,l3,1756
i02,e08,c1,p22,l3,1792
i06,e08,c3,p05,l2,105
i12,e04,c5,p19,l3,1739
i49,e10,c1,p01,l3,1845
i06,e01,c5,p14,l3,1811
i17,e04,c5,p20,l3,1740
i23,e03,c5,p15,l3,1732
i05,e08,c1,p12,l3,1736
i14,e08,c5,p13,l3,1738
i05,e09,c1,p03,l3,1722
i76,e01,c5,p35,l3,1725
i38,e10,c4,p32,l4,1750
i13,e11,c5,p16,l3,1726
i38,e10,c1,p23,l2,39
i14,e01,c5,p05,l3,1723
i23,e04,c5,p22,l3,1723
i05,e07,c1,p09,l3,1722
i39,e09,c5,p17,l3,1730
i01,e08,c1,p13,l3,1722
i05,e04,c1,p31,l3,1720
i06,e10,c3,p02,l4,1725
i06,e07,c5,p16,l2,2
i16,e09,c5,p17,l3,1724
i05,e04,c1,p24,l3,1721
i23,e04,c5,p21,l3,1721
i16,e01,c5,p21,l3,1726
i27,e08,c5,p22,l3,1720
i43,e01,c1,p05,l3,1720
i38,e06,c7,p10,l3,3458
i02,e04,c1,p20,l3,1735
i21,e01,c1,p11,l3,1725
i02,e05,c1,p19,l3,1720
i27,e10,c5,p24,l3,1721
i05,e04,c1,p06,l3,1723
i06,e08,c3,p24,l2,1
i21,e12,c1,p02,l3,1720
i63,e10,c1,p01,l3,1721
i42,e05,c5,p31,l3,1720
i05,e07,c1,p11,l3,1720
i12,e04,c5,p29,l3,1721
i13,e11,c5,p12,l3,1723
i17,e11,c5,p20,l3,1722
i34,e08,c5,p14,l3,1720
i21,e05,c1,p10,l3,1720
i27,e09,c5,p24,l3,1721
i38,e11,c4,p09,l2,1720
i06,e07,c5,p20,l2,1
i14,e09,c5,p24,l3,1720
i05,e01,c1,p01,l3,1724
i02,e08,c4,p32,l3,1720
i38,e10,c4,p25,l4,1725
i13,e04,c5,p10,l3,1720
i38,e10,c1,unknown,l4,1720
i12,e01,c5,p10,l3,1720
i06,e10,c5,p30,l1,1
i12,e08,c5,p14,l3,1720
i38,e08,c4,p08,l2,1
i38,e11,c1,p19,l2,2409
i38,e10,c1,p01,l3,24818
i06,e10,c5,p07,l3,38231
i14,e08,c5,p06,l3,1893
i14,e08,c5,p01,l3,1857
i35,e09,c2,p35,l3,1724
i38,e10,c1,p20,l3,3080
i17,e04,c5,p03,l3,1792
i38,e04,c1,p02,l1,23
i06,e10,c5,p13,l3,37014
i01,e01,c1,p02,l3,1726
i38,e09,c1,p01,l2,65
i15,e09,c6,p35,l3,3477
i41,e07,c1,p10,l3,1742
i38,e04,c1,p09,l1,27
i34,e08,c5,p04,l3,1750
i06,e10,c5,p35,l4,3630
i05,e09,c1,p26,l3,1723
i02,e08,c1,p25,l3,2008
i05,e08,c1,p05,l3,1732
i17,e01,c5,p02,l3,1725
i14,e12,c5,p22,l3,1722
i12,e08,c5,p01,l3,1724
i05,e12,c1,p03,l3,1748
i34,e04,c5,p01,l3,1731
i06,e10,c5,p17,l2,19
i39,e09,c5,p15,l3,1733
i14,e11,c5,p02,l3,1720
i06,e02,c5,p11,l1,2
i06,e10,c3,p01,l4,1725
i38,e10,c1,p13,l1,39
i39,e04,c5,p09,l3,1725
i01,e11,c1,p07,l3,1721
i06,e10,c3,p28,l3,1764
i41,e04,c1,p35,l3,1734
i16,e09,c5,p10,l3,1726
i05,e06,c1,p11,l3,1725
i41,e09,c1,p28,l3,1724
i38,e10,c1,p18,l2,1764
i02,e01,c1,p20,l3,1732
i05,e03,c1,p29,l3,1722
i134,e05,c1,p10,l3,1720
i06,e10,c5,p31,l1,11
i43,e09,c1,p21,l3,1720
i34,e04,c5,p02,l3,1736
i14,e12,c5,p15,l3,1723
i39,e01,c5,p10,l3,1741
i41,e11,c1,p09,l3,1725
i46,e06,c1,p35,l3,1723
i16,e09,c5,p06,l3,1722
i05,e09,c1,p10,l3,1733
i07,e12,c5,p17,l3,1721
i38,e10,c1,p32,l1,5
i38,e11,c1,unknown,l2,1721
i23,e09,c5,p03,l3,1721
i63,e11,c1,p01,l3,1720
i43,e09,c1,p12,l3,1721
i02,e11,c1,p35,l3,1720
i41,e11,c1,p21,l3,1721
i17,e08,c5,p33,l3,1721
i42,e05,c5,p35,l3,1721
i48,e04,c1,p28,l3,1720
i27,e08,c5,p17,l3,1720
i06,e01,c3,p11,l3,1720
i05,e07,c1,p24,l3,1720
i38,e06,c1,p21,l3,2067
i17,e08,c5,p10,l3,1943
i06,e10,c5,p15,l3,70339
i06,e08,c5,p06,l2,1255
i06,e10,c5,p04,l3,25340
i38,e11,c1,p32,l2,1744
i14,e08,c5,p03,l3,1785
i06,e10,c5,p10,l2,373
i06,e04,c5,p05,l1,336
i06,e10,c5,p12,l4,3959
i19,e11,c5,p35,l3,1829
i38,e10,c1,p01,l1,58
i38,e10,c1,p28,l4,2053
i23,e03,c5,p26,l3,1722
i46,e08,c1,p01,l3,1759
i42,e05,c3,p01,l3,1735
i06,e10,c5,p14,l2,22
i31,e11,c1,p35,l3,1829
i17,e08,c5,p25,l3,1731
i05,e08,c1,p29,l3,1732
i17,e04,c5,p05,l3,1736
i02,e09,c1,p05,l3,1775
i30,e04,c1,p11,l3,1730
i06,e08,c3,p19,l2,71
i63,e11,c1,p35,l3,1720
i06,e10,c5,p28,l1,12
i38,e10,c1,p08,l2,36
i27,e01,c5,p05,l3,1722
i34,e03,c5,p18,l3,3473
i06,e10,c5,p01,l2,63
i02,e01,c1,p18,l3,3487
i34,e09,c5,p22,l3,1722
i16,e01,c5,p23,l3,1721
i38,e10,c4,p28,l3,1772
i14,e01,c5,p21,l3,1724
i07,e12,c5,p04,l3,1720
i12,e08,c5,p03,l3,1721
i19,e05,c5,p10,l3,1720
i43,e03,c1,p35,l3,1721
i38,e10,c7,p20,l2,1723
i01,e01,c1,p11,l3,1720
i42,e05,c5,p16,l3,1720
i21,e03,c1,p05,l3,1722
i06,e07,c5,p22,l2,1
i06,e05,c5,p32,l1,2
i16,e11,c5,p19,l3,1721
i14,e11,c5,p01,l3,1720
i02,e11,c1,p10,l3,1723
i43,e07,c1,p19,l3,1721
i48,e11,c1,p23,l3,1721
i12,e01,c5,p29,l3,1720
i16,e09,c5,p05,l3,1721
i07,e12,c5,p19,l3,1723
i32,e08,c5,p09,l3,1721
i14,e09,c5,p18,l3,3439
i30,e04,c1,p29,l3,1720
i09,e04,c5,p35,l3,1721
i41,e01,c1,p29,l3,1720
i03,e09,c5,p18,l3,3439
i19,e01,c5,p35,l3,1723
i12,e09,c5,p10,l3,1720
i03,e01,c5,p18,l3,3439
i66,e09,c3,p10,l3,1720
i39,e01,c5,p32,l3,1720
i05,e06,c1,p08,l3,1720
i38,e12,c1,p15,l3,1722
i46,e11,c1,p03,l3,1720
i66,e01,c3,p25,l3,1720
i111,e08,c1,p07,l3,1720
i29,e09,c5,p03,l3,1720
i05,e01,c1,p16,l3,1720
i22,e02,c5,p10,l3,1720
i39,e04,c5,p04,l3,1745
i06,e09,c5,p19,l2,251
i06,e12,c5,p05,l3,2000
i06,e10,c5,p25,l3,12039
i38,e10,c1,p23,l3,4861
i38,e09,c1,p10,l2,385
i38,e10,c1,p06,l2,21
i38,e10,c1,p32,l3,3079
i06,e10,c5,p16,l4,4716
i06,e09,c5,p08,l2,27
i34,e08,c5,p17,l3,1732
i46,e08,c1,p25,l3,1728
i05,e06,c1,p13,l3,1729
i16,e04,c5,p14,l3,1732
i30,e09,c1,p35,l3,1728
i38,e04,c1,p11,l1,50
i06,e09,c5,p06,l2,69
i21,e12,c1,p19,l3,1748
i46,e04,c1,p29,l3,1728
i46,e08,c1,p24,l3,1768
i02,e09,c1,p16,l3,1820
i01,e09,c1,p10,l3,1726
i16,e04,c5,p21,l3,1729
i34,e08,c5,p19,l3,1776
i06,e10,c3,p05,l4,1741
i30,e01,c1,p24,l3,1722
i12,e01,c5,p19,l3,1727
i16,e04,c5,p07,l3,1732
i38,e09,c1,p12,l2,45
i17,e08,c5,p09,l3,1758
i06,e09,c5,p18,l2,1762
i06,e10,c5,p21,l1,84
i48,e11,c1,p10,l3,1725
i14,e08,c5,p33,l3,1721
i38,e11,c1,p25,l2,1759
i41,e01,c1,p10,l3,1737
i23,e04,c5,p26,l3,1725
i17,e11,c5,p01,l3,1863
i03,e04,c5,p06,l3,1720
i38,e08,c1,p23,l2,82
i05,e09,c1,p24,l3,1724
i49,e08,c1,p33,l3,1730
i34,e01,c5,p12,l3,1724
i38,e01,c1,p09,l3,1754
i21,e01,c1,p10,l3,1727
i06,e05,c5,p20,l1,4
i38,e04,c1,p07,l1,51
i38,e10,c7,p20,l4,3441
i46,e09,c1,p10,l3,1732
i41,e11,c1,p35,l3,1779
i39,e01,c5,p16,l3,1727
i38,e11,c1,p20,l2,1740
i38,e12,c1,p18,l3,3440
i03,e09,c5,p01,l3,1721
i06,e10,c3,p07,l4,1727
i39,e04,c5,p13,l3,1731
i06,e11,c5,p33,l2,1725
i42,e05,c5,p14,l3,1721
i43,e09,c1,p15,l3,1721
i14,e09,c5,p23,l3,1720
i34,e09,c5,p29,l3,1725
i27,e01,c5,p29,l3,1720
i42,e05,c5,p13,l3,1722
i23,e04,c5,p11,l3,1724
i06,e09,c5,p20,l2,11
i17,e09,c5,p02,l3,1724
i16,e01,c5,p03,l3,1721
i23,e03,c5,p05,l3,1722
i30,e01,c1,p11,l3,1723
i30,e09,c1,p14,l3,1723
i41,e01,c1,p28,l3,1721
i38,e10,c4,p32,l2,2
i14,e09,c5,p13,l3,1722
i57,e12,c8,p10,l3,1720
i46,e11,c1,p29,l3,1720
i38,e11,c7,p19,l2,3439
i13,e10,c5,p17,l3,1721
i38,e10,c1,unknown,l4,1720
i27,e01,c5,p15,l3,1722
i05,e01,c1,p09,l3,1720
i06,e05,c5,p26,l1,1
i46,e08,c4,p03,l3,1720
i06,e11,c5,p23,l2,1879
i02,e01,c1,p15,l3,1814
i38,e10,c1,p08,l3,6496
i38,e10,c1,p07,l4,3805
i05,e07,c1,p10,l3,1735
i39,e01,c5,p24,l3,1729
i06,e04,c5,p23,l1,46
i01,e04,c1,p10,l3,1734
i06,e10,c5,p28,l3,8944
i06,e09,c5,p05,l2,148
i43,e09,c1,p10,l3,1744
i17,e08,c5,p18,l3,3475
i17,e11,c5,p14,l3,1749
i06,e01,c5,p35,l3,1795
i02,e08,c1,p15,l3,2427
i16,e08,c5,p11,l3,1742
i01,e08,c1,p11,l3,1743
i16,e09,c5,p11,l3,1720
i14,e09,c5,p01,l3,1724
i17,e09,c5,p19,l3,1745
i38,e09,c1,p19,l2,179
i14,e08,c5,p35,l3,1750
i42,e02,c5,p17,l3,1720
i38,e10,c4,p29,l3,1768
i05,e06,c1,p10,l3,1743
i06,e10,c5,p30,l3,2053
i01,e01,c1,p12,l3,1723
i100,e11,c5,p35,l3,1730
i06,e10,c5,p32,l1,16
i38,e04,c1,p23,l1,4
i38,e08,c7,p13,l2,1723
i02,e04,c1,p23,l3,1744
i46,e04,c1,p10,l3,1731
i05,e08,c1,p11,l3,1746
i38,e06,c1,p26,l3,1733
i41,e07,c1,p16,l3,1720
i42,e05,c5,p12,l3,1727
i05,e09,c1,p35,l3,1734
i73,e01,c3,p35,l3,1721
i16,e01,c5,p20,l3,1723
i38,e12,c1,p17,l3,1721
i06,e07,c5,p35,l2,5
i07,e12,c5,p02,l3,1720
i46,e01,c4,p35,l3,1727
i38,e01,c4,p28,l3,1722
i65,e04,c3,p10,l3,1721
i06,e07,c3,p10,l2,3
i01,e08,c1,p19,l3,1735
i38,e10,c7,p13,l2,1721
i16,e01,c5,p14,l3,1721
i46,e01,c1,p19,l3,1723
i14,e11,c5,p20,l3,1720
i05,e12,c1,p22,l3,1720
i38,e10,c7,p15,l3,3441
i38,e10,c1,p28,l1,5
i06,e10,c3,p17,l4,1722
i21,e12,c1,p10,l3,1721
i16,e04,c5,p08,l3,1721
i48,e11,c1,p03,l3,1720
i38,e10,c1,p25,l1,3
i05,e06,c1,p09,l3,1720
i38,e01,c7,p02,l3,3439
i42,e02,c5,p11,l3,1721
i05,e09,c1,p11,l3,1721
i09,e04,c5,p29,l3,1720
i38,e05,c1,p07,l1,1
i38,e11,c4,p02,l2,1721
i01,e09,c1,p03,l3,1722
i111,e08,c1,p12,l3,1721
i19,e05,c5,p35,l3,1720
i22,e02,c5,p21,l3,1720
i07,e04,c5,p11,l3,1721
i43,e09,c1,p25,l3,1720
i35,e01,c2,p35,l3,1720
i06,e12,c5,p14,l3,1925
i01,e08,c1,p18,l3,3459
i06,e11,c5,p18,l2,3653
i47,e01,c1,p35,l3,1927
i06,e01,c5,p13,l3,1781
i17,e08,c5,p07,l3,1753
i02,e09,c1,p19,l3,2298
i38,e10,c1,p26,l3,2070
i38,e10,c1,p15,l1,49
i06,e11,c5,p35,l2,2146
i14,e04,c5,p19,l3,1838
i19,e08,c5,p10,l3,1758
i06,e01,c5,p04,l3,1837
i19,e10,c5,p35,l3,2049
i06,e04,c5,p04,l1,165
i38,e08,c1,p06,l2,36
i17,e01,c5,p10,l3,1775
i38,e08,c1,p28,l2,121
i34,e04,c5,p21,l3,1759
i07,e01,c5,p12,l3,1722
i41,e04,c1,p18,l3,3441
i23,e04,c5,p07,l3,1727
i63,e10,c1,p01,l4,1735
i38,e10,c4,p11,l3,2446
i03,e10,c5,p22,l3,1721
i38,e10,c1,p04,l1,14
i23,e04,c5,p19,l3,1730
i13,e03,c5,p35,l3,1721
i14,e09,c5,p16,l3,1728
i14,e04,c5,p13,l3,1750
i38,e11,c1,p35,l2,1743
i34,e03,c5,p31,l3,1723
i06,e10,c5,p08,l1,17
i46,e08,c1,p11,l3,1726
i05,e06,c1,p24,l3,1723
i27,e01,c5,p18,l3,3440
i06,e10,c5,p23,l1,25
i38,e04,c1,p24,l1,41
i17,e09,c5,p15,l3,1730
i39,e01,c5,p06,l3,1726
i46,e04,c4,p19,l3,1728
i01,e08,c1,p14,l3,1726
i16,e09,c5,p12,l3,1727
i43,e01,c1,p20,l3,1721
i05,e03,c1,p31,l3,1720
i14,e01,c5,p03,l3,1726
i16,e08,c5,p08,l3,1720
i27,e01,c5,p22,l3,1720
i38,e04,c1,p29,l1,9
i34,e04,c5,p29,l3,1728
i39,e09,c5,p04,l3,1729
i16,e09,c5,p24,l3,1722
i14,e01,c5,p30,l3,1721
i14,e11,c5,p24,l3,1721
i38,e09,c4,p19,l2,3
i136,e05,c1,p02,l3,1720
i38,e10,c1,p08,l1,6
i41,e09,c1,p17,l3,1720
i06,e10,c3,p20,l4,1725
i17,e01,c5,p07,l3,1725
i23,e03,c5,p12,l3,1723
i38,e11,c4,p18,l2,3441
i06,e10,c3,p12,l4,1721
i39,e09,c5,p18,l3,3440
i05,e12,c1,p18,l3,3439
i39,e04,c5,p20,l3,1721
i76,e04,c5,p35,l3,1722
i17,e04,c3,p05,l3,1723
i43,e04,c1,p35,l3,1721
i03,e01,c5,p15,l3,1720
i41,e01,c1,p12,l3,1720
i27,e10,c5,p29,l3,1720
i06,e08,c3,p17,l2,1
i43,e08,c1,p19,l3,1725
i38,e11,c7,p07,l2,3439
i38,e09,c4,p07,l2,2
i38,e04,c4,p01,l1,1
i33,e08,c1,p17,l3,1720
i34,e03,c5,p35,l3,1847
i34,e09,c5,p19,l3,1737
i02,e08,c1,p05,l3,2031
i38,e04,c1,p17,l1,74
i46,e04,c1,p35,l3,1817
i06,e11,c5,p06,l2,1902
i42,e05,c5,p24,l3,1721
i16,e04,c5,p13,l3,1725
i05,e07,c1,p05,l3,1725
i02,e04,c1,p17,l3,1827
i38,e01,c1,p13,l3,1912
i46,e11,c1,p25,l3,1864
i34,e01,c5,p03,l3,1733
i06,e10,c3,p01,l3,1741
i19,e11,c5,p10,l3,1908
i17,e11,c5,p17,l3,1829
i14,e04,c5,p17,l3,1726
i38,e10,c1,p30,l3,1906
i06,e10,c3,p35,l4,1726
i52,e08,c3,p10,l3,1720
i17,e08,c5,p13,l3,1740
i14,e08,c5,p09,l3,1733
i38,e11,c1,p14,l2,1830
i38,e11,c4,p16,l2,1722
i02,e09,c1,p11,l3,1858
i38,e10,c4,p14,l3,1781
i27,e09,c5,p17,l3,1720
i02,e08,c1,p28,l3,1733
i38,e10,c1,p18,l1,1727
i05,e07,c1,p21,l3,1722
i34,e01,c5,p07,l3,1725
i38,e08,c7,p10,l2,1728
i38,e10,c1,p26,l4,1795
i67,e08,c5,p21,l3,1899
i27,e04,c5,p35,l3,1720
i46,e08,c1,p23,l3,1777
i67,e01,c5,p04,l3,1721
i23,e03,c5,p10,l3,1731
i43,e04,c1,p19,l3,1725
i16,e08,c5,p29,l3,1728
i46,e09,c4,p35,l3,1724
i32,e04,c5,p35,l3,1720
i10,e05,c3,p35,l3,1722
i39,e09,c5,p16,l3,1721
i43,e09,c1,p01,l3,1729
i12,e08,c5,p13,l3,1735
i41,e04,c1,p12,l3,1720
i34,e08,c5,p09,l3,1723
i03,e01,c5,p04,l3,1720
i41,e08,c1,p12,l3,1724
i41,e09,c1,p18,l3,3439
i38,e05,c1,p13,l1,1
i33,e04,c1,p02,l3,1721
i14,e01,c5,p28,l3,1725
i38,e10,c4,p19,l2,2
i28,e09,c1,p35,l3,1722
i01,e04,c1,p14,l3,1720
i05,e06,c1,p18,l3,3439
i39,e09,c5,p09,l3,1720
i06,e10,c5,p28,l2,1
i17,e09,c5,p18,l3,3443
i12,e04,c5,p22,l3,1720
i01,e04,c1,p11,l3,1720
i43,e04,c1,p17,l3,1723
i12,e09,c5,p06,l3,1720
i38,e11,c4,p13,l2,1720
i45,e09,c1,p17,l3,1720
i38,e09,c4,p24,l2,2
i59,e01,c5,p10,l3,1721
i43,e08,c1,p07,l3,1720
i46,e08,c1,p12,l3,1720
i63,e04,c4,p10,l3,1720
i21,e01,c1,p12,l3,1720
i38,e11,c1,p33,l2,1720
i14,e08,c5,p26,l3,1720
i06,e12,c5,p17,l3,1963
i06,e09,c5,p16,l2,92
i06,e12,c5,p08,l3,1831
i17,e08,c5,p05,l3,1756
i38,e04,c1,p19,l1,210
i38,e11,c1,p22,l2,1774
i06,e11,c5,p24,l2,1935
i14,e04,c5,p06,l3,1728
i38,e06,c1,p05,l3,2041
i02,e08,c1,p18,l3,3557
i06,e10,c3,p23,l4,1729
i38,e10,c4,p09,l3,1769
i38,e10,c1,p15,l2,48
i02,e08,c1,p04,l3,2337
i06,e10,c5,p14,l1,50
i02,e01,c1,p09,l3,1803
i02,e09,c1,p14,l3,1797
i13,e08,c5,p21,l3,1722
i06,e05,c5,p05,l1,7
i06,e01,c5,p28,l3,1746
i30,e01,c1,p21,l3,1738
i14,e09,c5,p04,l3,1736
i17,e11,c5,p03,l3,1810
i07,e11,c5,p21,l3,1753
i02,e01,c1,p02,l3,1733
i16,e04,c5,p03,l3,1728
i84,e08,c1,p35,l3,1724
i06,e10,c3,p24,l4,1727
i38,e01,c1,p06,l3,1732
i02,e08,c4,p24,l3,1736
i01,e08,c1,p16,l3,1734
i38,e12,c1,p01,l3,1723
i32,e08,c5,p15,l3,1725
i30,e01,c1,p16,l3,1723
i38,e07,c1,p15,l2,7
i38,e10,c4,p08,l4,1723
i06,e08,c3,p12,l2,2
i03,e01,c5,p19,l3,1730
i05,e08,c1,p10,l3,1732
i17,e11,c5,p32,l3,1733
i03,e04,c5,p18,l3,3444
i16,e08,c5,p05,l3,1720
i34,e08,c5,p07,l3,1732
i34,e01,c5,p14,l3,1720
i05,e03,c1,p14,l3,1720
i19,e03,c5,p10,l3,1721
i43,e09,c1,p07,l3,1720
i01,e09,c1,p29,l3,1726
i43,e01,c1,p13,l3,1720
i14,e01,c5,p15,l3,1722
i12,e04,c5,p04,l3,1720
i16,e04,c5,p09,l3,1721
i06,e04,c3,p12,l1,1
i41,e07,c1,p23,l3,1720
i21,e04,c1,p12,l3,1720
i32,e11,c5,p09,l3,1720
i05,e03,c1,p10,l3,1723
i13,e08,c5,p18,l3,3439
i48,e11,c1,p07,l3,1720
i30,e01,c1,p29,l3,1721
i07,e08,c5,p10,l3,1720
i02,e11,c1,p28,l3,1720
i46,e04,c1,p03,l3,1720
i01,e01,c1,p24,l3,1720
i19,e09,c5,p10,l3,1720
i13,e10,c5,p35,l3,1721
i06,e08,c3,p21,l2,1
i05,e05,c1,p10,l3,1720
i06,e10,c5,p26,l2,1
i38,e11,c1,p12,l2,1916
i06,e08,c5,p09,l2,863
i38,e01,c4,p11,l3,1720
i06,e12,c5,p10,l3,2876
i06,e08,c5,p03,l2,2578
i06,e09,c5,p03,l2,98
i38,e10,c1,p14,l4,2836
i06,e02,c5,p03,l1,1
i06,e11,c5,p15,l2,2761
i02,e04,c1,p35,l3,1782
i38,e10,c1,p22,l4,2395
i17,e04,c5,p12,l3,1749
i38,e06,c1,p07,l3,2127
i06,e01,c5,p10,l3,2078
i38,e10,c1,p25,l4,2087
i02,e04,c1,p18,l3,3476
i02,e09,c1,p17,l3,1845
i38,e10,c4,p10,l4,1863
i38,e10,c7,p14,l3,3441
i34,e03,c5,p03,l3,1760
i38,e06,c1,p12,l3,1975
i17,e09,c5,p26,l3,1728
i30,e04,c1,p21,l3,1742
i02,e08,c1,p08,l3,1757
i02,e09,c1,p06,l3,1737
i06,e01,c5,p16,l3,1845
i14,e11,c5,p06,l3,1722
i02,e01,c1,p12,l3,1774
i06,e11,c5,p28,l2,1762
i34,e08,c5,p21,l3,1750
i37,e10,c5,p33,l3,1728
i14,e08,c3,p32,l3,1720
i17,e11,c5,p05,l3,1762
i63,e10,c1,p35,l4,1790
i38,e04,c1,p31,l1,34
i38,e10,c1,p09,l2,39
i06,e05,c5,p10,l1,14
i06,e10,c3,p03,l4,1729
i30,e04,c1,p35,l3,1725
i23,e08,c5,p01,l3,1723
i06,e04,c5,p33,l1,3
i59,e09,c5,p10,l3,1721
i06,e08,c3,p11,l2,6
i01,e04,c1,p17,l3,1726
i06,e07,c5,p01,l2,2
i23,e09,c5,p29,l3,1721
i34,e09,c5,p23,l3,1724
i49,e11,c1,p33,l3,1722
i05,e03,c1,p18,l3,3442
i34,e09,c5,p28,l3,1720
i31,e12,c1,p35,l3,1720
i06,e02,c5,p14,l1,1
i06,e05,c5,p35,l1,1
i16,e08,c5,p04,l3,1722
i38,e06,c4,p19,l3,1747
i38,e10,c4,p18,l1,1720
i23,e09,c5,p16,l3,1724
i14,e01,c5,p17,l3,1721
i12,e09,c5,p29,l3,1720
i01,e05,c1,p03,l3,1720
i41,e04,c1,p29,l3,1723
i06,e02,c5,p23,l1,1
i46,e01,c1,p29,l3,1721
i38,e11,c4,p32,l2,1720
i07,e12,c5,p07,l3,1720
i38,e04,c4,p18,l1,1720
i25,e03,c5,p18,l3,3439
i23,e01,c5,p12,l3,1720
i05,e03,c1,p17,l3,1720
i38,e11,c1,unknown,l2,1720
i06,e08,c5,p10,l2,7146
i01,e08,c1,p35,l3,2196
i38,e10,c1,p07,l3,14761
i38,e06,c1,p01,l3,2282
i06,e08,c5,p11,l2,2454
i06,e01,c5,p23,l3,1801
i06,e08,c5,p08,l2,800
i06,e04,c5,p10,l1,736
i38,e10,c1,p19,l4,7975
